binding_set_id	first_binding	binding_count	digest
256	3115	15	5d33c0309a6b388a686e99da3b4e1cb7cdbf73a4fdcbad193126ab9a5eb3f675
257	3130	9	c9f41ae4fdabaf2995d58ed2288437b00c12487772528fc5d27e7d9b7e236c72
258	3139	11	e88a6fda00507aedaf83736b18143d3094fe0a08306f8b44cd40c239bd0549b2
259	3150	10	33b96a3032ac9747a08eba99d6acaaae371b171dc0c411d10ea7b359af3be9ab
260	3160	14	327dce68b82977473111c3a2347c6a79d16400ca2c824ce9b024a12bf0c43b0b
261	3174	10	11ac21510e17eb52fcd4fbfd6c98c90a44eb8bde5daebde2d685f4fc47497f85
262	3184	14	fa806c0bb9dfcd32e6048ea84b63c841a4fa2e6a3d84f5f2745988272f32305c
263	3198	9	aff277205cc21fdb16824db129700c94d410c8cfeca169ae6e844412e9bc05d0
264	3207	9	f4846b97f0e2fba71b7277e452e401fb81379914504bc9f8e42bfeda98bb2615
265	3216	13	a548485fdc1fcea7b519643bdb23b9a228abba8ca6a1b40dd70509af1d9e6aa5
266	3229	9	fcf7f9fa85e2dc42f35eea8e853bb9f24ab223fca0fcd67d47748f3316768c3e
267	3238	7	9a7c26bffda72b09be5110b0c2409dff011fd177ada6af9388c975034b353894
268	3245	7	b7bffb44df6539983d514af1af88bf8d3a90251171c082f1d7ef1c0cd85d60bf
269	3252	12	4a951be4a721ae6cd3e445d20742cdc438ee4524b1554febac56d8e0757390c3
270	3264	12	716a11910294a9b7f4df3bff1db02739681592870b026f0650d6eea3c979ce1f
271	3276	10	dafec69931b98e8e1f68cc2f11fa39eb72aaecdb89e8f2f9633db65dbc014d7a
272	3286	9	b0e6dc694f51739060cb82ef690c36c598523de4324187a7d088b1ae4d993571
273	3295	10	24fce16acf2ebee47d58daca1c283d1659e1d6e75dfed8d008461e5057db54ca
274	3305	10	7ca1c8af1acf502d9dff8300cf3848bd9e5e275cf79c733c6d46ecda22154047
275	3315	11	c52fb50239ffa7ab58dd98b4c981a49aad910fcbca18f4ce36276a8491d43373
276	3326	10	b165343167369ca327a9befa979d9d7e3b5418ec187c8367b90dfeceb56b3370
277	3336	9	d5b3d2e93670ae898aa0a2d7742c71ca2ef4586a5fe134018530e0e47e911337
278	3345	7	67d1e4a8c1fa02008ab5b99d8c22fcfc18c47d8aab4f58106da5df37befd5858
279	3352	3	09bcbe3068a79d03cf05559af719c17022c9affb806e5baa776f601a80d38ec5
